Journal	Score1	Score2	IF2	IF5	NoOfScores	Citations
Science (New York)	8	10	31.377	31.777	2	575
The New England Journal of Medicine	8	6	53.486	52.363	2	458
Endocrinology	10	 	4.993	5.265	1	5
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	228
Nature Neuroscience	8	 	14.191	16.19	1	92
Nature Reviews. Genetics	6	 	32.745	28.993	1	148
Nature Immunology	6	 	25.668	25.934	1	141
Evolution; International Journal of Organic Evolution	6	 	5.659	6.041	1	67
Development	6	 	6.898	7.476	1	29
PLoS Computational Biology	6	 	5.515	6.251	1	102
Proceedings of the National Academy of Sciences of the United States of America	6	6	9.771	10.591	2	24
The Journal of Neuroscience	6	 	7.271	8.068	1	39
The EMBO Journal	6	 	10.124	9.369	1	81
Proceedings of the National Academy of Sciences of the United States of America	8	6	9.771	10.591	2	152
Genes &amp; Development	8	 	12.889	13.892	1	322
BMC Genomics	6	 	4.206	4.199	1	97
Biophysical Journal	6	 	4.218	4.692	1	77
Molecular Biology of the Cell	6	 	5.861	5.949	1	90
Cell	6	8	32.406	34.931	2	128
Nature Cell Biology	8	8	19.407	19.578	2	169
Evolution; International Journal of Organic Evolution	6	 	5.659	6.041	1	12
Genome Biology	8	 	6.885	7.354	1	63
The Journal of Biological Chemistry	6	 	5.328	5.498	1	48
Science (New York)	6	 	31.377	31.777	1	168
Nature Chemical Biology	8	 	15.808	16.321	1	106
Proceedings of the National Academy of Sciences of the United States of America	6	6	9.771	10.591	2	86
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	116
The Journal of Neuroscience	6	6	7.271	8.068	2	38
The Journal of Experimental Medicine	6	6	14.776	15.7	2	52
The Journal of Neuroscience	6	 	7.271	8.068	1	13
Journal of Molecular Biology	6	6	4.008	4.095	2	86
Genome Research	8	 	13.588	11.971	1	45
The EMBO Journal	6	 	10.124	9.369	1	47
The EMBO Journal	6	 	10.124	9.369	1	28
Proceedings. Biological Sciences / the Royal Society	6	 	5.064	5.443	1	24
"European Journal of Obstetrics, Gynecology, and Reproductive Biology"	6	 	1.764	1.736	1	28
The Journal of Animal Ecology	6	 	4.457	4.782	1	18
The Journal of Clinical Endocrinology and Metabolism	6	 	6.495	6.438	1	6
Cell	6	6	32.406	34.931	2	81
Hippocampus	6	 	4.609	5.289	1	103
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	86
Mechanisms of Development	6	 	2.958	3.16	1	9
Molecular and Cellular Biology	6	 	6.188	6.381	1	9
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	37
Infection and Immunity	6	 	4.098	4.091	1	27
Nature Medicine	10	 	25.43	27.887	1	94
Nature Methods	8	 	20.721	19.286	1	52
The European Journal of Neuroscience	6	 	3.658	3.812	1	28
Journal of Molecular Biology	6	 	4.008	4.095	1	33
Journal of Virology	6	 	5.189	5.257	1	71
Biochemistry	6	 	3.226	3.15	1	21
Nature	8	6	36.104	35.248	2	103
Nature	10	 	36.104	35.248	1	122
Nature	10	8	36.104	35.248	2	134
Biochimie	8	 	3.787	3.728	1	98
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	39
Journal of Molecular Evolution	6	 	2.311	2.564	1	18
Hormones and Behavior	6	 	3.991	4.218	1	3
The Journal of Neuroscience	8	 	7.271	8.068	1	5
Cellular Microbiology	6	 	5.625	5.428	1	45
The Journal of Biological Chemistry	6	6	5.328	5.498	2	39
Molecular and Cellular Biology	6	 	6.188	6.381	1	18
The Plant Journal: for Cell and Molecular Biology	6	6	6.948	7.325	2	61
Journal of Cognitive Neuroscience	6	 	5.357	6.28	1	84
Nature Cell Biology	8	6	19.407	19.578	2	78
Organic Letters	6	 	5.25	4.962	1	82
Nature Biotechnology	8	 	31.09	29.065	1	27
Nature Immunology	8	 	25.668	25.934	1	82
Marine Pollution Bulletin	6	 	2.359	2.899	1	13
Developmental Biology	8	 	4.094	4.42	1	33
Current Biology	6	 	10.026	11.436	1	53
The Journal of General Physiology	6	8	4.283	4.712	2	123
Molecular Biology of the Cell	6	 	5.861	5.949	1	12
The Journal of Pathology	6	 	7.274	6.14	1	27
Journal of Molecular and Cellular Cardiology	6	 	5.499	5.376	1	37
Science (New York)	10	 	31.377	31.777	1	357
Plant Physiology	6	 	6.451	7.016	1	74
American Journal of Physiology. Heart and Circulatory Physiology	6	 	3.881	3.857	1	26
Immunity	6	 	24.221	22.133	1	57
Nature	6	 	36.104	35.248	1	191
Nature Genetics	8	 	36.377	32.701	1	151
Journal of Cell Science	6	 	6.29	6.731	1	68
Nature Reviews. Microbiology	8	 	20.686	20.17	1	274
Proceedings of the National Academy of Sciences of the United States of America	6	6	9.771	10.591	2	34
Journal of Molecular Biology	6	 	4.008	4.095	1	18
Nature	6	 	36.104	35.248	1	122
Nucleic Acids Research	6	 	7.836	7.314	1	58
The EMBO Journal	6	 	10.124	9.369	1	60
Neuron	8	 	14.027	14.927	1	116
Molecular and Cellular Biology	6	 	6.188	6.381	1	129
Physiological and Biochemical Zoology	8	 	2.394	2.715	1	24
The Journal of Experimental Medicine	8	8	14.776	15.7	2	67
Molecular and Cellular Biology	6	 	6.188	6.381	1	8
Cell	8	8	32.406	34.931	2	1438
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	276
Ecology	8	 	5.073	6.218	1	39
Journal of Applied Physiology	6	 	4.235	4.216	1	13
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	68
Current Biology	6	 	10.026	11.436	1	49
The Journal of Biological Chemistry	6	 	5.328	5.498	1	66
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	65
Animal Cognition	6	6	2.82	3.116	2	220
The EMBO Journal	6	8	10.124	9.369	2	16
Science (New York)	10	8	31.377	31.777	2	376
The Journal of Clinical Endocrinology and Metabolism	6	 	6.495	6.438	1	52
Nucleic Acids Research	6	 	7.836	7.314	1	14
The Journal of Neuroscience	6	 	7.271	8.068	1	10
Molecular and Cellular Biology	6	 	6.188	6.381	1	58
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	32
Science (New York)	8	 	31.377	31.777	1	155
Molecular Microbiology	6	 	4.819	5.207	1	59
Theoretical Population Biology	6	 	1.8	2.057	1	3
Science (New York)	6	10	31.377	31.777	2	637
Oecologia	6	 	3.517	4.116	1	19
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	45
The Journal of Neuroscience	6	 	7.271	8.068	1	108
Ecology	6	 	5.073	6.218	1	60
Nature Immunology	6	 	25.668	25.934	1	149
Ecology Letters	6	 	15.253	14.261	1	71
The New England Journal of Medicine	6	 	53.486	52.363	1	390
The Journal of Biological Chemistry	10	 	5.328	5.498	1	36
Ecology	6	 	5.073	6.218	1	136
Nature	6	10	36.104	35.248	2	259
PLoS Genetics	6	 	9.543	10.054	1	102
PLoS Biology	8	 	12.472	14.376	1	91
Cell	6	 	32.406	34.931	1	109
Clinical Cancer Research	6	 	7.338	7.166	1	180
Science (New York)	8	6	31.377	31.777	2	271
Nature	10	 	36.104	35.248	1	94
Genes &amp; Development	6	 	12.889	13.892	1	182
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	507
BMC Cell Biology	6	 	2.464	3.022	1	10
Cell	6	6	32.406	34.931	2	42
Environmental Health Perspectives	6	 	6.087	7.024	1	64
The Journal of Biological Chemistry	6	 	5.328	5.498	1	22
Journal of Cell Science	8	 	6.29	6.731	1	23
The Journal of Cell Biology	8	 	9.921	10.123	1	35
Ecology Letters	8	 	15.253	14.261	1	289
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	77
Molecular Cell	6	 	14.194	14.447	1	37
Molecular Cell	8	 	14.194	14.447	1	240
Cell	8	6	32.406	34.931	2	137
The Plant Cell	6	8	9.396	10.648	2	65
Protein Expression and Purification	10	 	1.644	1.925	1	938
Proceedings of the National Academy of Sciences of the United States of America	6	6	9.771	10.591	2	58
Journal of Neurophysiology	6	 	3.114	3.686	1	79
PLoS Biology	6	 	12.472	14.376	1	111
Proceedings. Biological Sciences / the Royal Society	6	 	5.064	5.443	1	35
Developmental Dynamics	6	 	2.864	3.018	1	47
Clinical Infectious Diseases	8	 	8.186	7.898	1	5
PLoS Biology	8	6	12.472	14.376	2	70
Proceedings of the National Academy of Sciences of the United States of America	6	6	9.771	10.591	2	88
Nature Structural &amp; Molecular Biology	6	 	13.685	12.481	1	68
Proceedings of the National Academy of Sciences of the United States of America	8	6	9.771	10.591	2	64
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	42
Molecular Microbiology	6	8	4.819	5.207	2	23
Chemical Research in Toxicology	6	 	4.148	3.666	1	12
The Journal of Clinical Endocrinology and Metabolism	8	 	6.495	6.438	1	211
Cell	8	 	32.406	34.931	1	74
Proceedings. Biological Sciences / the Royal Society	8	 	5.064	5.443	1	16
Proceedings. Biological Sciences / the Royal Society	8	 	5.064	5.443	1	55
The Journal of Neuroscience	6	 	7.271	8.068	1	69
Nature Neuroscience	8	8	14.191	16.19	2	92
Nature	8	8	36.104	35.248	2	672
Nature	8	 	36.104	35.248	1	558
Nature	8	 	36.104	35.248	1	420
Nature Neuroscience	6	 	14.191	16.19	1	51
Nature	6	8	36.104	35.248	2	467
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	46
Genome Research	6	 	13.588	11.971	1	52
The Journal of Biological Chemistry	6	 	5.328	5.498	1	15
Plant Physiology	6	 	6.451	7.016	1	33
The Journal of Infectious Diseases	6	 	6.288	6.103	1	64
Current Biology	6	 	10.026	11.436	1	61
BMC Microbiology	6	 	2.96	3.331	1	10
Journal of Bacteriology	6	 	3.726	3.818	1	30
Molecular Microbiology	6	6	4.819	5.207	2	43
"Bioessays: News and Reviews in Molecular, Cellular and Developmental Biology"	6	 	4.479	5.016	1	109
Nature Neuroscience	6	6	14.191	16.19	2	102
The Journal of Cell Biology	8	 	9.921	10.123	1	38
American Journal of Respiratory and Critical Care Medicine	8	 	10.191	10.019	1	99
Plant &amp; Cell Physiology	6	 	4.257	3.941	1	34
Molecular Microbiology	6	 	4.819	5.207	1	48
The Journal of Experimental Medicine	6	 	14.776	15.7	1	330
Nature	8	 	36.104	35.248	1	367
Nature	6	 	36.104	35.248	1	146
"American Journal of Physiology. Regulatory, Integrative and Comparative Physiology"	6	 	3.284	3.395	1	51
Development	6	 	6.898	7.476	1	37
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	67
Nature Methods	6	 	20.721	19.286	1	65
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	30
Evolution; International Journal of Organic Evolution	6	 	5.659	6.041	1	43
The American Naturalist	8	 	4.736	5.385	1	30
Current Biology	8	 	10.026	11.436	1	24
Plant &amp; Cell Physiology	6	 	4.257	3.941	1	9
The Plant Journal: for Cell and Molecular Biology	8	6	6.948	7.325	2	135
BMC Plant Biology	6	 	4.085	4.324	1	9
Journal of Neurophysiology	8	 	3.114	3.686	1	82
The Plant Journal: for Cell and Molecular Biology	6	 	6.948	7.325	1	54
Plant Physiology	8	 	6.451	7.016	1	59
Molecular Endocrinology	10	8	4.889	5.224	2	73
Cell	6	 	32.406	34.931	1	619
Science (New York)	10	8	31.377	31.777	2	293
Molecular Therapy	6	 	7.149	6.5	1	18
Immunity	6	 	24.221	22.133	1	51
Human Gene Therapy	6	 	4.829	4.261	1	14
Cell	6	6	32.406	34.931	2	632
Bioinformatics	8	 	4.877	6.326	1	47
Journal of Neurophysiology	8	 	3.114	3.686	1	11
Journal of the American Chemical Society	6	 	9.023	8.981	1	72
Physiological and Biochemical Zoology	6	 	2.394	2.715	1	40
Nature Neuroscience	8	 	14.191	16.19	1	145
Journal of the American Chemical Society	8	 	9.023	8.981	1	34
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	25
Ecology	6	6	5.073	6.218	2	204
The Journal of Biological Chemistry	6	 	5.328	5.498	1	20
The Plant Cell	6	 	9.396	10.648	1	126
Genome Research	6	 	13.588	11.971	1	88
Science (New York)	8	8	31.377	31.777	2	351
Science (New York)	8	 	31.377	31.777	1	280
Genes &amp; Development	6	 	12.889	13.892	1	48
Science (New York)	10	 	31.377	31.777	1	178
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	39
Molecular and Cellular Endocrinology	6	 	4.119	3.696	1	24
Nature	8	 	36.104	35.248	1	77
PLoS Biology	8	 	12.472	14.376	1	82
The Journal of Clinical Investigation	6	 	14.152	16.641	1	17
Genes &amp; Development	8	8	12.889	13.892	2	55
The Journal of Biological Chemistry	6	 	5.328	5.498	1	86
The Journal of Biological Chemistry	6	 	5.328	5.498	1	47
Nature	10	6	36.104	35.248	2	96
Journal of Virology	6	 	5.189	5.257	1	12
Nature Medicine	6	 	25.43	27.887	1	95
Neuron	8	6	14.027	14.927	2	190
Gastroenterology	8	 	12.032	12.403	1	66
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	76
The Journal of Biological Chemistry	6	 	5.328	5.498	1	11
Science (New York)	8	 	31.377	31.777	1	139
Molecular Microbiology	8	 	4.819	5.207	1	128
Clinical Infectious Diseases	6	 	8.186	7.898	1	13
The Journal of Biological Chemistry	6	 	5.328	5.498	1	27
Nature Genetics	10	8	36.377	32.701	2	193
The Journal of Experimental Medicine	6	 	14.776	15.7	1	35
Cell	8	8	32.406	34.931	2	317
Cancer Cell	6	6	26.925	28.438	2	344
Nature	6	 	36.104	35.248	1	37
Virology	6	 	3.305	3.293	1	22
Nature	8	8	36.104	35.248	2	445
The Journal of Cell Biology	6	 	9.921	10.123	1	54
Nature	6	 	36.104	35.248	1	139
Science (New York)	6	 	31.377	31.777	1	104
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	160
Chembiochem	8	 	3.945	3.751	1	63
Science (New York)	8	 	31.377	31.777	1	130
The Journal of Experimental Medicine	8	 	14.776	15.7	1	323
Current Biology	6	8	10.026	11.436	2	55
Journal of Neuroimmunology	6	6	2.901	2.942	2	24
Molecular Microbiology	6	 	4.819	5.207	1	21
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	75
American Journal of Human Genetics	6	 	11.68	12.265	1	281
The Journal of Neuroscience	6	6	7.271	8.068	2	33
The Journal of Biological Chemistry	6	 	5.328	5.498	1	15
Biochemistry	6	 	3.226	3.15	1	15
Neuron	8	6	14.027	14.927	2	164
Molecular Cell	6	6	14.194	14.447	2	114
Science (New York)	8	8	31.377	31.777	2	633
Cell	8	10	32.406	34.931	2	308
Chemical Senses	6	 	2.327	2.252	1	45
Nature Genetics	8	10	36.377	32.701	2	33
Nature Reviews. Neuroscience	6	 	29.51	32.753	1	198
Nature Genetics	8	 	36.377	32.701	1	202
The Journal of Cell Biology	6	 	9.921	10.123	1	35
Nature	6	 	36.104	35.248	1	102
Nature Genetics	6	6	36.377	32.701	2	171
Cancer Cell	10	 	26.925	28.438	1	73
The Journal of Biological Chemistry	6	 	5.328	5.498	1	32
The Journal of Experimental Medicine	8	 	14.776	15.7	1	131
Applied and Environmental Microbiology	6	6	3.778	4.529	2	86
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	136
Development	6	 	6.898	7.476	1	7
Molecular Biology of the Cell	6	 	5.861	5.949	1	21
The Journal of Biological Chemistry	8	 	5.328	5.498	1	79
The Journal of Biological Chemistry	8	 	5.328	5.498	1	58
Journal of Cell Science	6	 	6.29	6.731	1	69
The European Journal of Neuroscience	6	 	3.658	3.812	1	44
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	19
PLoS Genetics	8	 	9.543	10.054	1	85
Applied and Environmental Microbiology	8	 	3.778	4.529	1	27
Science (New York)	8	6	31.377	31.777	2	299
Journal of Cell Science	6	 	6.29	6.731	1	24
Journal of Bacteriology	6	 	3.726	3.818	1	32
Science (New York)	8	 	31.377	31.777	1	225
The EMBO Journal	6	 	10.124	9.369	1	63
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	17
Biochemistry	6	 	3.226	3.15	1	21
Development	6	 	6.898	7.476	1	33
Nature Genetics	10	 	36.377	32.701	1	82
The Journal of Neuroscience	6	 	7.271	8.068	1	55
The Journal of Cell Biology	6	 	9.921	10.123	1	33
Immunity	10	10	24.221	22.133	2	273
Genetics	8	 	4.087	4.311	1	9
Environmental Microbiology	6	 	5.537	5.638	1	102
Journal of Clinical Microbiology	6	 	4.22	4.258	1	20
Annals of the New York Academy of Sciences	6	 	2.847	2.649	1	4
Cell	10	6	32.406	34.931	2	92
Nature Cell Biology	8	 	19.407	19.578	1	156
Developmental Cell	8	 	13.946	14.24	1	84
Molecular Microbiology	6	 	4.819	5.207	1	42
Medical Mycology	8	 	2.329	2.284	1	19
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	61
Molecular Cell	8	 	14.194	14.447	1	51
American Journal of Human Genetics	8	 	11.68	12.265	1	32
Infection and Immunity	6	 	4.098	4.091	1	36
Cell	6	 	32.406	34.931	1	54
Molecular Vision	6	 	2.511	2.704	1	43
Molecular Biology of the Cell	6	 	5.861	5.949	1	19
Molecular Biology of the Cell	6	 	5.861	5.949	1	134
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	32
Neuron	8	 	14.027	14.927	1	50
Nature	6	6	36.104	35.248	2	255
Nature Genetics	8	 	36.377	32.701	1	40
Journal of Evolutionary Biology	6	 	3.656	4.08	1	89
Journal of Cell Science	6	 	6.29	6.731	1	60
Nature Immunology	6	 	25.668	25.934	1	95
Ecology	6	 	5.073	6.218	1	70
Journal of Bacteriology	6	 	3.726	3.818	1	36
Journal of Clinical Microbiology	6	 	4.22	4.258	1	14
The Journal of Neuroscience	8	 	7.271	8.068	1	68
Science (New York)	8	 	31.377	31.777	1	44
Endocrinology	6	 	4.993	5.265	1	30
Oncogene	6	 	7.414	7.109	1	29
Nature Neuroscience	8	6	14.191	16.19	2	129
"American Journal of Physiology. Regulatory, Integrative and Comparative Physiology"	8	 	3.284	3.395	1	29
Antimicrobial Agents and Chemotherapy	8	 	4.672	4.68	1	13
The Biochemical Journal	6	 	5.016	4.592	1	37
PLoS Genetics	8	8	9.543	10.054	2	70
Nature Genetics	6	8	36.377	32.701	2	53
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	17
Chemical Senses	6	 	2.327	2.252	1	33
The Journal of Cell Biology	6	 	9.921	10.123	1	133
Development	8	 	6.898	7.476	1	46
The American Journal of Pathology	6	 	5.224	5.971	1	20
Journal of Immunology	8	 	5.745	5.909	1	30
Ecology	6	 	5.073	6.218	1	27
The Plant Journal: for Cell and Molecular Biology	6	 	6.948	7.325	1	35
Developmental Biology	6	 	4.094	4.42	1	30
Cancer Cell	8	 	26.925	28.438	1	90
Diabetes	8	 	8.889	8.484	1	35
Hippocampus	6	6	4.609	5.289	2	76
Hippocampus	6	 	4.609	5.289	1	11
The Journal of Nutritional Biochemistry	6	 	4.538	4.558	1	17
Nature Structural &amp; Molecular Biology	6	 	13.685	12.481	1	88
The Journal of Biological Chemistry	6	 	5.328	5.498	1	98
Infection and Immunity	6	 	4.098	4.091	1	15
Nucleic Acids Research	6	 	7.836	7.314	1	34
Genome Research	10	 	13.588	11.971	1	28
Limnology and oceanography	6	 	3.385	4.004	1	3
Science (New York)	6	 	31.377	31.777	1	108
The Journal of Biological Chemistry	8	 	5.328	5.498	1	88
Nature	8	6	36.104	35.248	2	278
Molecular and Cellular Biology	6	 	6.188	6.381	1	92
Nature Neuroscience	10	 	14.191	16.19	1	102
Physical Review Letters	6	 	7.622	7.155	1	131
The European Journal of Neuroscience	6	 	3.658	3.812	1	17
Neuron	8	10	14.027	14.927	2	111
Nature	10	8	36.104	35.248	2	195
Cell	10	 	32.406	34.931	1	214
Nature Neuroscience	6	 	14.191	16.19	1	66
The Journal of Biological Chemistry	6	 	5.328	5.498	1	31
Biophysical Journal	6	 	4.218	4.692	1	31
Nature	8	 	36.104	35.248	1	201
Journal of Virology	8	8	5.189	5.257	2	67
The Journal of Biological Chemistry	6	 	5.328	5.498	1	24
Ecology Letters	8	 	15.253	14.261	1	74
Oecologia	6	 	3.517	4.116	1	22
Oecologia	6	 	3.517	4.116	1	13
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	51
Nature Genetics	6	 	36.377	32.701	1	182
Diagnostic Cytopathology	6	 	1.295	1.263	1	10
Neuron	10	 	14.027	14.927	1	136
Journal of Immunology	6	 	5.745	5.909	1	73
The Journal of Experimental Medicine	6	 	14.776	15.7	1	41
