Patron Type Definition,Total Checkouts,Total Renewals,Home Library Definition,Circulation Active Month,Circulation Active Year,Year Patron Registered
ADULT,13,0,Richmond,July,2015,2014
SENIOR,908,1105,Richmond,July,2016,2003
ADULT,10,14,Main Library,June,2016,2010
ADULT,1,0,Main Library,November,2013,2010
ADULT,10,13,Main Library,July,2016,2007
YOUNG ADULT,0,0,Mission,None,None,2013
ADULT,82,13,Portola,July,2016,2012
ADULT,121,131,North Beach,May,2015,2009
ADULT,125,30,Merced,July,2016,2012
ADULT,1,0,Presidio,July,2013,2012
YOUNG ADULT,1,0,Presidio,January,2016,2007
JUVENILE,0,0,Anza,None,None,2014
ADULT,7,0,Mission,June,2016,2016
JUVENILE,0,0,Presidio,None,None,2010
ADULT,275,76,Sunset,August,2014,2009
ADULT,55,1,Mission,January,2016,2005
ADULT,12,0,Main Library,February,2014,2014
ADULT,376,258,Mission,July,2016,2003
ADULT,16,2,Excelsior,February,2014,2004
ADULT,95,87,Chinatown,July,2016,2008
ADULT,25,25,Sunset,July,2016,2012
ADULT,8,2,Ocean View,March,2014,2006
ADULT,19,4,Main Library,September,2013,2006
ADULT,16,1,Mission,May,2016,2006
ADULT,0,0,Mission Bay,None,None,2015
ADULT,128,5,West Portal,July,2016,2013
ADULT,26,1,Main Library,March,2014,2010
ADULT,30,2,Presidio,June,2016,2011
ADULT,0,0,Ingleside,None,None,2013
ADULT,17,5,Glen Park,February,2014,2009
YOUNG ADULT,86,23,Excelsior,July,2016,2013
ADULT,0,0,Main Library,None,None,2008
ADULT,3,0,Main Library,January,2015,2014
ADULT,17,4,Main Library,September,2010,2004
ADULT,34,45,Main Library,April,2014,2011
ADULT,264,99,Ortega,July,2016,2008
ADULT,385,488,Main Library,July,2016,2007
ADULT,372,171,Glen Park,June,2016,2006
ADULT,1,0,Main Library,August,2015,2015
ADULT,216,57,Western Addition,October,2012,2010
JUVENILE,132,0,Main Library,May,2016,2014
ADULT,6,0,Eureka Valley/Harvey Milk Memorial,November,2015,2003
ADULT,4,2,Presidio,March,2014,2014
ADULT,7,0,Mission,January,2014,2013
WELCOME,0,0,Anza,None,None,2016
ADULT,35,0,Main Library,August,2010,2003
ADULT,0,0,Park,None,None,2015
ADULT,1,0,Ingleside,March,2011,2011
ADULT,88,64,Sunset,October,2015,2003
WELCOME,7,1,Main Library,August,2015,2013
ADULT,3,1,West Portal,November,2014,2011
ADULT,3,6,Main Library,April,2013,2013
WELCOME,1,0,Main Library,September,2012,2008
WELCOME,0,0,Eureka Valley/Harvey Milk Memorial,None,None,2013
ADULT,18,0,Main Library,May,2016,2014
WELCOME,5,1,Main Library,October,2013,2013
ADULT,11,2,Potrero,March,2016,2015
SENIOR,1,4,Merced,October,2015,2015
ADULT,64,4,Presidio,January,2015,2006
WELCOME,2,0,Mission,May,2016,2015
ADULT,1,0,Ingleside,November,2015,2015
ADULT,71,106,Main Library,April,2015,2009
ADULT,0,0,North Beach,None,None,2012
YOUNG ADULT,28,4,Main Library,February,2015,2014
ADULT,824,266,Excelsior,March,2016,2003
SENIOR,1,0,Main Library,April,2014,2013
ADULT,36,57,North Beach,June,2016,2013
ADULT,187,0,Merced,January,2016,2015
ADULT,4,0,Bernal Heights,March,2014,2014
ADULT,223,85,Main Library,June,2014,2012
ADULT,298,91,Presidio,April,2016,2003
ADULT,21,14,Ortega,July,2014,2011
ADULT,11,14,Main Library,July,2016,2015
JUVENILE,334,112,Eureka Valley/Harvey Milk Memorial,January,2016,2009
YOUNG ADULT,15,4,Richmond,February,2013,2003
ADULT,3,0,Ortega,September,2014,2013
SENIOR,40,2,Western Addition,August,2014,2011
ADULT,423,179,Ingleside,January,2016,2003
WELCOME,4,0,Main Library,July,2014,2003
WELCOME,0,0,Main Library,August,2014,2014
ADULT,109,92,Ingleside,February,2016,2003
ADULT,343,42,Mission Bay,May,2016,2005
ADULT,2,4,Main Library,March,2014,2007
SENIOR,92,28,Mission Bay,June,2016,2008
JUVENILE,0,0,Eureka Valley/Harvey Milk Memorial,None,None,2015
ADULT,26,1,Main Library,October,2011,2009
JUVENILE,2,0,Portola,July,2015,2015
YOUNG ADULT,482,77,Ortega,February,2016,2003
ADULT,52,65,Noe Valley/Sally Brunn,December,2013,2011
ADULT,1,1,Main Library,July,2013,2013
ADULT,0,0,Park,June,2016,2016
ADULT,0,0,Main Library,None,None,2011
JUVENILE,3,3,Main Library,April,2016,2012
YOUNG ADULT,13,2,Mission,September,2015,2007
ADULT,271,129,Eureka Valley/Harvey Milk Memorial,May,2016,2003
JUVENILE,4,0,Park,May,2016,2014
JUVENILE,109,98,Bernal Heights,July,2016,2014
ADULT,1,0,Merced,November,2015,2015
ADULT,130,33,Portola,July,2016,2003
ADULT,33,33,Eureka Valley/Harvey Milk Memorial,July,2016,2012
ADULT,103,11,Excelsior,September,2015,2005
ADULT,5,0,Excelsior,March,2016,2012
ADULT,0,0,Parkside,None,None,2015
YOUNG ADULT,6,0,Bayview/Linda Brooks-Burton,January,2016,2011
WELCOME,1,0,Golden Gate Valley,October,2014,2014
JUVENILE,528,411,Parkside,May,2016,2010
JUVENILE,3,0,Noe Valley/Sally Brunn,August,2014,2014
ADULT,200,6,Sunset,May,2014,2006
ADULT,609,572,Main Library,July,2016,2003
ADULT,165,174,Noe Valley/Sally Brunn,July,2016,2008
ADULT,342,428,Main Library,May,2016,2003
ADULT,1,0,Excelsior,December,2014,2013
ADULT,16,12,Main Library,March,2016,2014
ADULT,14,0,Main Library,August,2015,2010
ADULT,167,267,Main Library,November,2013,2010
ADULT,4,0,Main Library,October,2013,2005
ADULT,1,0,Ingleside,August,2014,2014
ADULT,90,6,Park,July,2016,2008
JUVENILE,196,5,West Portal,June,2014,2010
JUVENILE,58,14,Golden Gate Valley,July,2016,2015
ADULT,10,23,Main Library,July,2016,2005
JUVENILE,5,0,Bernal Heights,October,2015,2013
SENIOR,87,28,Main Library,October,2015,2006
ADULT,1,0,Eureka Valley/Harvey Milk Memorial,March,2016,2016
YOUNG ADULT,0,0,Main Library,None,None,2015
ADULT,0,0,Main Library,None,None,2015
ADULT,5,0,Main Library,January,2015,2013
JUVENILE,70,29,Mission,July,2016,2014
YOUNG ADULT,18,0,Bayview/Linda Brooks-Burton,October,2013,2013
ADULT,17,1,Main Library,March,2007,2003
ADULT,3,0,Main Library,February,2016,2005
JUVENILE,4,0,Portola,January,2016,2015
JUVENILE,111,27,Ortega,June,2016,2012
ADULT,111,100,Chinatown,July,2013,2008
ADULT,3,0,Park,November,2015,2013
JUVENILE,12,4,Sunset,October,2015,2014
WELCOME,0,0,Richmond,None,None,2015
WELCOME,2,0,Western Addition,February,2015,2014
ADULT,111,66,Sunset,March,2014,2003
ADULT,32,48,Mission Bay,April,2015,2011
ADULT,89,5,Main Library,February,2014,2003
ADULT,32,9,Mission Bay,March,2013,2008
WELCOME,1,1,Main Library,March,2015,2015
SENIOR,90,114,Ortega,November,2014,2003
WELCOME,2,0,Main Library,August,2013,2013
ADULT,27,32,Mission,January,2015,2011
YOUNG ADULT,1,0,Excelsior,November,2013,2013
SENIOR,957,92,Chinatown,July,2016,2003
YOUNG ADULT,2,0,Excelsior,October,2009,2009
ADULT,68,2,Main Library,May,2014,2009
ADULT,3102,445,Chinatown,July,2016,2003
ADULT,9,0,Sunset,April,2010,2008
ADULT,34,17,West Portal,August,2013,2003
JUVENILE,1531,205,Portola,July,2016,2006
ADULT,929,287,Main Library,January,2015,2003
JUVENILE,0,0,Visitacion Valley,None,None,2013
ADULT,0,0,Main Library,None,None,2011
JUVENILE,267,1,Mission,April,2016,2007
JUVENILE,25,0,Noe Valley/Sally Brunn,August,2015,2013
ADULT,647,95,Parkside,February,2014,2003
WELCOME,0,0,Potrero,None,None,2015
ADULT,8,0,Main Library,February,2013,2013
ADULT,14,7,Bernal Heights,July,2016,2015
JUVENILE,62,0,Ortega,July,2016,2011
ADULT,20,0,Bernal Heights,October,2013,2004
ADULT,0,0,Anza,None,None,2016
SENIOR,38,13,Chinatown,February,2015,2008
WELCOME,1,0,Mission Bay,April,2015,2015
JUVENILE,119,7,Glen Park,November,2015,2008
JUVENILE,128,1,Parkside,July,2016,2011
ADULT,7,0,Main Library,October,2012,2012
ADULT,1,0,Mission,May,2015,2015
ADULT,4,2,Eureka Valley/Harvey Milk Memorial,June,2012,2007
ADULT,0,0,Main Library,None,None,2012
ADULT,4,3,Chinatown,August,2013,2013
ADULT,4,3,Merced,April,2014,2012
JUVENILE,38,28,Noe Valley/Sally Brunn,February,2016,2014
ADULT,0,0,Richmond,None,None,2012
JUVENILE,7,0,Glen Park,March,2016,2011
ADULT,0,0,Main Library,None,None,2014
ADULT,1,0,Main Library,July,2015,2015
ADULT,442,19,Main Library,November,2015,2013
YOUNG ADULT,107,38,Richmond,August,2015,2012
ADULT,25,0,Chinatown,January,2014,2003
ADULT,0,0,Visitacion Valley,None,None,2015
SENIOR,0,0,Main Library,March,2016,2012
JUVENILE,891,242,Sunset,July,2016,2007
ADULT,68,65,Chinatown,July,2016,2012
ADULT,145,40,West Portal,May,2014,2013
ADULT,11,0,Richmond,November,2015,2015
ADULT,0,0,Bayview/Linda Brooks-Burton,None,None,2015
ADULT,2,0,Excelsior,August,2015,2003
ADULT,2727,1597,Merced,July,2016,2003
ADULT,59,18,Golden Gate Valley,December,2014,2012
SENIOR,68,25,Sunset,June,2014,2003
ADULT,23,0,Parkside,February,2014,2004
ADULT,126,6,Main Library,February,2016,2015
YOUNG ADULT,1,0,Portola,April,2015,2014
ADULT,2,4,West Portal,December,2014,2014
SENIOR,580,17,North Beach,July,2016,2014
JUVENILE,75,0,Richmond,May,2015,2014
ADULT,0,0,Main Library,None,None,2012
YOUNG ADULT,3,0,Bayview/Linda Brooks-Burton,July,2016,2010
YOUNG ADULT,40,18,Main Library,June,2013,2012
SENIOR,2163,182,Anza,July,2016,2003
SENIOR,1375,53,Richmond,July,2016,2009
ADULT,13,0,Main Library,March,2016,2015
SENIOR,282,117,Main Library,July,2016,2003
JUVENILE,122,23,Merced,August,2015,2014
JUVENILE,146,6,Eureka Valley/Harvey Milk Memorial,May,2016,2015
JUVENILE,742,169,Mission,July,2016,2008
SENIOR,12,14,Excelsior,April,2016,2003
ADULT,1,0,Main Library,March,2013,2013
SENIOR,372,7,Main Library,December,2014,2004
ADULT,8,0,Main Library,May,2016,2014
YOUNG ADULT,226,25,Anza,July,2016,2007
ADULT,2,0,Main Library,December,2014,2014
ADULT,154,292,Merced,June,2016,2007
YOUNG ADULT,1934,2252,Ortega,July,2016,2005
ADULT,204,98,Sunset,September,2015,2009
SENIOR,4258,452,Main Library,October,2014,2003
ADULT,784,507,Presidio,July,2016,2004
SENIOR,935,176,Mission Bay,February,2016,2003
ADULT,19,25,Park,July,2016,2014
ADULT,26,4,Mission Bay,January,2016,2007
WELCOME,0,0,Main Library,None,None,2015
ADULT,21,0,Chinatown,May,2006,2006
ADULT,966,650,Parkside,July,2016,2012
WELCOME,5,0,Main Library,October,2015,2013
JUVENILE,0,0,Ortega,None,None,2014
ADULT,0,0,Anza,None,None,2012
SENIOR,25,7,Ingleside,March,2016,2009
ADULT,6,6,Marina,March,2016,2015
JUVENILE,428,75,Presidio,July,2016,2011
ADULT,52,0,Main Library,January,2016,2012
ADULT,0,0,Main Library,None,None,2013
ADULT,42,98,Main Library,July,2016,2015
ADULT,177,35,Mission,July,2016,2012
ADULT,46,0,Parkside,November,2010,2005
ADULT,55,52,Merced,July,2016,2013
ADULT,4,0,Main Library,September,2014,2012
ADULT,5,0,Portola,September,2013,2003
ADULT,0,0,Richmond,None,None,2014
ADULT,0,0,Ortega,None,None,2016
ADULT,182,43,Main Library,June,2014,2009
ADULT,149,4,Anza,May,2013,2006
SENIOR,5,0,Portola,May,2015,2014
ADULT,83,106,Main Library,December,2014,2003
ADULT,81,6,Golden Gate Valley,July,2016,2013
SENIOR,5,0,Noe Valley/Sally Brunn,September,2009,2005
ADULT,2,0,Ingleside,January,2010,2010
ADULT,0,0,Main Library,None,None,2016
SENIOR,23,8,Western Addition,January,2015,2004
JUVENILE,4,0,Marina,April,2016,2016
YOUNG ADULT,1119,247,Portola,April,2015,2004
ADULT,62,36,Chinatown,September,2013,2003
YOUNG ADULT,55,10,Glen Park,March,2015,2009
ADULT,8,0,Richmond,January,2014,2013
ADULT,0,0,Main Library,None,None,2013
SENIOR,70,49,Main Library,April,2016,2003
ADULT,563,941,Main Library,July,2016,2008
ADULT,372,71,Excelsior,June,2016,2009
ADULT,0,0,Presidio,May,2013,2013
ADULT,157,16,Chinatown,May,2016,2004
ADULT,0,0,Main Library,None,None,2013
ADULT,543,145,Mission Bay,January,2015,2006
VISITOR,15,15,Main Library,August,2014,2014
ADULT,57,6,Portola,February,2015,2003
ADULT,1,0,Main Library,June,2014,2014
ADULT,401,343,Western Addition,June,2016,2011
SENIOR,368,28,Mission,March,2016,2004
ADULT,4,0,Parkside,September,2014,2012
ADULT,0,0,Marina,None,None,2016
ADULT,0,0,Richmond,None,None,2009
JUVENILE,26,0,Bernal Heights,January,2015,2013
ADULT,281,67,Mission,May,2016,2003
JUVENILE,53,0,Chinatown,March,2016,2013
ADULT,0,0,Main Library,None,None,2014
ADULT,31,0,Noe Valley/Sally Brunn,November,2013,2003
ADULT,0,0,Main Library,July,2015,2015
ADULT,0,0,Main Library,None,None,2014
ADULT,91,123,Main Library,March,2014,2005
ADULT,8,10,Main Library,February,2016,2013
YOUNG ADULT,241,64,Golden Gate Valley,June,2016,2009
ADULT,14,5,Eureka Valley/Harvey Milk Memorial,October,2015,2007
SENIOR,1,0,Merced,October,2013,2013
ADULT,11,0,Ingleside,December,2015,2012
JUVENILE,36,5,Merced,January,2016,2014
ADULT,58,16,Presidio,August,2013,2009
JUVENILE,0,0,Chinatown,None,None,2015
ADULT,1062,254,Main Library,July,2016,2005
YOUNG ADULT,43,2,Bernal Heights,October,2015,2015
ADULT,2,0,Ortega,June,2012,2011
ADULT,3,0,West Portal,January,2016,2014
JUVENILE,0,0,Chinatown,None,None,2016
TEACHER CARD,4,0,Main Library,June,2015,2015
ADULT,0,0,Main Library,None,None,2014
ADULT,0,0,Main Library,None,None,2013
ADULT,7,7,Main Library,November,2013,2013
JUVENILE,8,0,North Beach,July,2016,2016
JUVENILE,90,5,Marina,October,2015,2008
JUVENILE,49,12,Portola,June,2016,2014
ADULT,0,0,Main Library,None,None,2014
ADULT,92,148,Marina,July,2013,2010
WELCOME,2,3,Mission,June,2010,2010
ADULT,118,5,Main Library,December,2013,2012
YOUNG ADULT,491,498,Portola,May,2014,2003
ADULT,88,34,Portola,February,2014,2003
ADULT,275,439,Main Library,November,2013,2009
ADULT,0,0,Main Library,None,None,2015
ADULT,39,3,Main Library,February,2015,2011
ADULT,1,0,Sunset,November,2013,2013
ADULT,14,3,Ingleside,November,2014,2012
SENIOR,173,66,Main Library,May,2016,2003
ADULT,1,3,Main Library,September,2015,2015
JUVENILE,60,0,Visitacion Valley,June,2016,2014
ADULT,0,0,Main Library,None,None,2015
ADULT,43,22,Western Addition,August,2013,2010
ADULT,9,0,Main Library,July,2016,2015
ADULT,1,0,Mission,May,2016,2016
ADULT,1,3,Main Library,April,2013,2013
WELCOME,0,0,Main Library,None,None,2015
ADULT,0,0,Main Library,None,None,2016
ADULT,36,14,Merced,April,2014,2013
ADULT,1,0,Excelsior,November,2015,2007
JUVENILE,2,0,Main Library,January,2015,2014
YOUNG ADULT,370,93,Ingleside,September,2015,2007
JUVENILE,276,50,Ortega,April,2016,2008
ADULT,1512,23,North Beach,May,2016,2011
JUVENILE,197,2,Bernal Heights,July,2016,2013
ADULT,6,0,Excelsior,May,2016,2016
ADULT,44,4,Richmond,January,2016,2003
ADULT,8,1,Main Library,November,2012,2012
ADULT,0,0,Mission,None,None,2015
ADULT,7,5,Noe Valley/Sally Brunn,January,2016,2015
ADULT,991,881,Mission,July,2016,2004
ADULT,10,0,Richmond,June,2016,2016
ADULT,3,3,Noe Valley/Sally Brunn,August,2013,2013
SENIOR,8,1,Main Library,July,2015,2003
ADULT,1693,1094,Main Library,July,2016,2003
ADULT,0,0,Eureka Valley/Harvey Milk Memorial,None,None,2014
STAFF,2649,668,Richmond,July,2016,2003
ADULT,1,0,Eureka Valley/Harvey Milk Memorial,July,2014,2014
ADULT,10,17,North Beach,July,2015,2014
SENIOR,6,2,Bernal Heights,May,2016,2014
ADULT,4,4,Excelsior,January,2015,2012
ADULT,6,4,Noe Valley/Sally Brunn,February,2015,2012
ADULT,0,0,Main Library,None,None,2013
ADULT,29,42,Main Library,July,2016,2011
ADULT,0,0,Main Library,None,None,2013
ADULT,25,4,Main Library,December,2015,2014
ADULT,0,0,Western Addition,None,None,2015
ADULT,120,93,Main Library,February,2016,2005
ADULT,0,0,Main Library,November,2015,2013
ADULT,224,20,West Portal,May,2015,2009
JUVENILE,127,0,Chinatown,July,2016,2014
ADULT,15,3,Main Library,July,2016,2015
ADULT,0,0,Park,None,None,2015
ADULT,3,6,Main Library,December,2013,2010
ADULT,13,22,Main Library,March,2013,2012
JUVENILE,166,0,Richmond,March,2016,2009
ADULT,0,0,Mission,None,None,2015
ADULT,102,16,Bernal Heights,January,2016,2005
ADULT,0,0,Mission,None,None,2013
SENIOR,129,2,West Portal,May,2016,2006
ADULT,469,467,Main Library,December,2009,2005
ADULT,5,15,Main Library,May,2016,2013
ADULT,105,0,Main Library,July,2013,2003
ADULT,0,0,Bayview/Linda Brooks-Burton,None,None,2010
JUVENILE,38,4,Main Library,December,2014,2013
YOUNG ADULT,18,0,Bayview/Linda Brooks-Burton,July,2016,2014
ADULT,36,84,Main Library,July,2013,2011
DIGITAL ACCESS CARD,0,0,Parkside,None,None,2015
YOUNG ADULT,7,0,Main Library,February,2015,2011
ADULT,0,0,Sunset,None,None,2013
SENIOR,170,11,Main Library,June,2015,2003
ADULT,176,130,Noe Valley/Sally Brunn,November,2013,2004
WELCOME,0,0,Main Library,None,None,2014
ADULT,37,8,Eureka Valley/Harvey Milk Memorial,November,2015,2010
ADULT,8,11,Main Library,January,2011,2007
ADULT,0,0,Chinatown,None,None,2014
JUVENILE,554,88,Richmond,July,2016,2012
ADULT,137,14,Golden Gate Valley,January,2016,2006
JUVENILE,2,0,Sunset,June,2015,2015
ADULT,135,65,Ortega,January,2016,2003
ADULT,1014,461,West Portal,February,2016,2003
ADULT,55,96,Chinatown,July,2013,2007
ADULT,0,0,Main Library,None,None,2015
ADULT,0,0,Main Library,None,None,2015
ADULT,113,26,Main Library,June,2014,2010
STAFF,4761,884,Marina,July,2016,2003
ADULT,18,6,Bayview/Linda Brooks-Burton,April,2014,2007
YOUNG ADULT,0,0,Ingleside,None,None,2013
JUVENILE,7,0,Bayview/Linda Brooks-Burton,August,2014,2014
ADULT,37,26,Main Library,April,2014,2007
ADULT,0,0,Excelsior,None,None,2016
JUVENILE,1,0,Noe Valley/Sally Brunn,November,2015,2015
ADULT,4,1,Mission,April,2015,2015
ADULT,4,0,Main Library,October,2014,2014
ADULT,0,0,North Beach,None,None,2009
ADULT,4,0,Main Library,June,2016,2015
SENIOR,23,7,Sunset,July,2013,2011
ADULT,35,16,Anza,September,2015,2003
ADULT,44,41,Merced,June,2015,2014
JUVENILE,547,16,Richmond,June,2016,2009
JUVENILE,41,21,Ortega,November,2015,2011
ADULT,7,22,Main Library,August,2014,2013
ADULT,1,0,North Beach,October,2014,2014
ADULT,135,97,Main Library,July,2016,2003
ADULT,26,5,Mission,May,2014,2013
ADULT,9,11,Park,June,2016,2012
WELCOME,0,0,Main Library,None,None,2014
JUVENILE,12,1,Potrero,July,2016,2016
SENIOR,3,0,Ocean View,September,2015,2015
ADULT,2,0,Western Addition,October,2014,2014
SENIOR,32,7,Merced,April,2015,2003
YOUNG ADULT,0,0,Main Library,None,None,2014
ADULT,49,39,Main Library,November,2015,2009
ADULT,203,145,Main Library,November,2015,2008
ADULT,110,121,Chinatown,June,2016,2003
ADULT,88,9,Excelsior,March,2016,2003
JUVENILE,135,2,Bernal Heights,July,2016,2010
JUVENILE,57,3,Merced,July,2016,2008
ADULT,0,0,Main Library,None,None,2014
ADULT,132,98,Main Library,April,2016,2010
ADULT,5,0,Richmond,July,2016,2015
ADULT,8,12,Ingleside,July,2014,2008
ADULT,18,9,Mission Bay,July,2014,2014
ADULT,3764,1284,Western Addition,July,2016,2003
ADULT,196,3,Main Library,June,2015,2003
JUVENILE,103,1,Mission,August,2015,2011
SENIOR,12,0,Main Library,July,2015,2008
ADULT,30,38,Eureka Valley/Harvey Milk Memorial,November,2015,2011
ADULT,1027,1100,Richmond,July,2016,2003
ADULT,0,0,Main Library,November,2014,2014
ADULT,33,6,Eureka Valley/Harvey Milk Memorial,June,2016,2015
DIGITAL ACCESS CARD,0,0,Ortega,None,None,2015
JUVENILE,49,0,Chinatown,January,2016,2015
ADULT,55,50,Parkside,October,2013,2003
JUVENILE,5,0,Main Library,April,2013,2012
JUVENILE,87,0,Excelsior,September,2014,2014
ADULT,91,2,Eureka Valley/Harvey Milk Memorial,July,2016,2007
ADULT,200,140,Anza,April,2016,2005
ADULT,8,0,Marina,June,2012,2009
ADULT,887,62,Main Library,July,2016,2003
ADULT,6,7,Main Library,March,2016,2010
JUVENILE,146,11,Potrero,July,2016,2010
ADULT,3,2,Main Library,July,2016,2015
ADULT,42,48,Main Library,May,2016,2013
SENIOR,0,0,Main Library,None,None,2015
ADULT,120,4,Park,March,2015,2013
ADULT,124,22,Sunset,August,2013,2010
ADULT,3,3,Main Library,December,2014,2014
ADULT,16,0,Main Library,July,2015,2014
SENIOR,153,5,Mission,April,2015,2003
ADULT,187,93,Main Library,December,2015,2006
SENIOR,50,0,Ortega,September,2005,2005
WELCOME,0,0,Main Library,None,None,2016
ADULT,406,21,Eureka Valley/Harvey Milk Memorial,July,2016,2003
ADULT,285,20,Main Library,July,2014,2007
JUVENILE,24,2,Mission,June,2016,2014
SENIOR,117,17,North Beach,September,2015,2006
ADULT,133,185,North Beach,July,2016,2011
ADULT,9,16,Bernal Heights,May,2016,2010
ADULT,12,0,Mission,October,2014,2012
ADULT,8,12,Merced,March,2014,2008
SENIOR,15,0,Marina,May,2016,2003
ADULT,150,22,Chinatown,June,2008,2003
ADULT,0,0,Eureka Valley/Harvey Milk Memorial,None,None,2013
ADULT,2648,1114,Portola,March,2015,2003
ADULT,135,51,Main Library,December,2015,2003
ADULT,775,92,Marina,July,2016,2003
ADULT,26,15,Chinatown,March,2014,2003
ADULT,186,156,Ingleside,May,2013,2003
ADULT,0,0,Western Addition,None,None,2014
ADULT,841,45,Main Library,July,2016,2006
ADULT,116,39,Ortega,October,2015,2003
ADULT,33,0,Main Library,May,2014,2010
ADULT,28,40,Main Library,January,2013,2007
ADULT,0,0,Main Library,January,2016,2016
ADULT,0,0,Richmond,None,None,2014
ADULT,3,2,Park,January,2016,2014
ADULT,52,0,Main Library,December,2015,2009
SENIOR,0,0,Eureka Valley/Harvey Milk Memorial,None,None,2016
WELCOME,1,0,Main Library,January,2013,2009
ADULT,553,25,Main Library,July,2016,2003
ADULT,1009,108,Main Library,July,2013,2008
WELCOME,1,0,Main Library,November,2013,2013
ADULT,26,15,Sunset,July,2016,2003
SENIOR,0,0,Excelsior,None,None,2013
ADULT,181,7,Western Addition,July,2016,2015
ADULT,0,0,Chinatown,None,None,2014
ADULT,2,2,Main Library,January,2015,2014
ADULT,0,0,Main Library,None,None,2015
ADULT,15,9,Main Library,November,2013,2010
ADULT,12,10,Main Library,June,2013,2007
ADULT,90,45,Park,August,2015,2003
ADULT,213,65,Main Library,July,2016,2003
JUVENILE,30,0,Richmond,September,2015,2009
ADULT,47,1,Mission,June,2016,2009
JUVENILE,197,9,Presidio,July,2016,2015
ADULT,1,0,Richmond,May,2007,2006
ADULT,341,45,Mission,July,2016,2003
ADULT,4,0,Main Library,August,2014,2010
SENIOR,2,0,North Beach,May,2013,2013
ADULT,13,12,Marina,July,2014,2011
ADULT,180,6,Main Library,June,2016,2003
JUVENILE,29,0,Parkside,April,2015,2013
ADULT,0,0,Main Library,None,None,2013
ADULT,1,0,Ortega,November,2013,2007
JUVENILE,187,228,Mission Bay,June,2016,2011
ADULT,95,3,Excelsior,December,2012,2003
ADULT,0,0,Excelsior,None,None,2014
SENIOR,813,19,Western Addition,July,2016,2012
ADULT,53,50,Main Library,July,2016,2015
ADULT,0,0,Main Library,None,None,2015
